region_number,top_latitude,bottom_latitude,top_longitude,bottom_longitude,all_count,outdoors_count,outdoors_checkins_count,outdoors_tip_count,outdoors_users_count,outdoors_visits_count,outdoors_likes_count,outdoors_average_rating,outdoors_with_rating_count,travel_transport_count,travel_transport_checkins_count,travel_transport_tip_count,travel_transport_users_count,travel_transport_visits_count,travel_transport_likes_count,travel_transport_average_rating,travel_transport_with_rating_count,food_count,food_checkins_count,food_tip_count,food_users_count,food_visits_count,food_likes_count,food_average_rating,food_with_rating_count,shop_service_count,shop_service_checkins_count,shop_service_tip_count,shop_service_users_count,shop_service_visits_count,shop_service_likes_count,shop_service_average_rating,shop_service_with_rating_count,arts_entertainment_count,arts_entertainment_checkins_count,arts_entertainment_tip_count,arts_entertainment_users_count,arts_entertainment_visits_count,arts_entertainment_likes_count,arts_entertainment_average_rating,arts_entertainment_with_rating_count
1,0,0,0,0,224,30,4297,21,2090,8531,82,2.6333333333333333,3,16,4624,53,2902,9735,20,5.1,1,69,9340,221,6630,18593,542,0.42000000000000004,20,101,8648,93,7179,21246,279,0.5642857142857143,14,8,398,2,145,542,7,0,0
2,0,0,0,0,35,7,243,10,407,447,28,2.65,2,1,6,0,1,6,0,0,0,6,1287,22,1896,3467,95,2.2666666666666666,3,22,2964,24,3775,7216,145,1.6600000000000001,5,0,0,0,0,0,0,0,0
3,0,0,0,0,535,72,105469,418,57713,200392,2781,0.7875,8,48,38144,115,25753,66062,285,0.54,10,145,67054,1413,45446,109225,4464,0.12444444444444444,45,234,75548,544,42519,166949,2145,0.2,32,40,3968,70,3724,4779,257,0.58,10
4,0,0,0,0,205,58,49390,342,33879,94936,1860,0.6727272727272727,11,23,3160,3,1445,4100,12,0,0,26,7571,173,6978,17319,335,0.7,10,85,11802,146,9585,26853,328,0.35625,16,15,654,13,398,857,21,2.9,2
5,0,0,0,0,95,22,1474,8,875,1960,29,3.75,2,10,760,0,191,900,3,0,0,5,2966,28,3315,6167,88,3.1,2,51,5622,39,5183,10614,148,1.3833333333333335,6,8,994,11,244,1040,12,0,0
6,0,0,0,0,131,61,10402,69,8602,16798,300,1.2,7,16,3994,18,3075,6568,78,7.4,1,17,5289,181,5449,10343,266,0.7,8,36,35433,182,27766,114866,1159,0.85,8,4,162,2,68,218,2,0,0
7,0,0,0,0,11,2,247,4,224,324,3,5.8,1,1,17,1,13,17,0,0,0,2,239,8,111,244,10,7.5,1,5,20316,97,14125,58099,671,6.8,1,1,9,1,12,18,1,0,0
8,0,0,0,0,320,38,4537,10,2484,10136,98,8.5,1,18,3252,52,2991,6326,165,4.3,2,82,11205,253,8836,21303,558,0.3238095238095238,21,164,14506,220,14192,32837,528,0.3666666666666667,21,20,574,3,634,1728,25,2.75,2
9,0,0,0,0,211,19,6749,4,5076,11404,47,0,0,32,9781,26,7186,17248,79,1.8333333333333333,3,31,4083,73,4138,9027,204,2.3333333333333335,3,122,16521,163,18239,37913,484,0.3941176470588235,17,8,121,1,78,188,5,0,0
10,0,0,0,0,104,10,13598,23,7895,26658,102,5.5,1,20,1702,5,1001,2822,34,8.3,1,22,4960,78,2346,7582,113,1.2333333333333334,6,48,3319,44,3759,8462,108,2.0,4,4,7175,108,7142,10284,511,4.4,2
11,0,0,0,0,1048,108,67790,186,49926,143299,869,0.85,6,105,68228,223,48010,110489,435,0.46153846153846156,13,164,91309,1559,70841,169164,4157,0.19729729729729728,37,615,78293,900,61921,146433,2290,0.06213592233009709,103,60,23700,246,18774,34249,1288,0.7428571428571429,7
12,0,0,0,0,224,33,7223,33,5345,9671,152,8.2,1,25,22766,80,18584,44877,105,2.5,2,31,3614,100,3057,7236,275,1.3199999999999998,5,115,32043,244,25628,78104,1071,0.6538461538461539,13,20,1429,9,1086,2500,53,3.8,2
13,0,0,0,0,1804,222,134910,435,62696,216918,1919,0.35333333333333333,15,100,60096,118,35160,104965,385,0.85,6,343,277345,5815,224934,555132,17017,0.054098360655737705,122,1049,229640,1909,144694,412019,6280,0.03812154696132597,181,100,39391,280,20893,63769,1323,0.89,10
14,0,0,0,0,872,107,50564,173,21948,85418,709,0.5,12,58,43952,97,28169,88812,259,1.95,4,150,59653,1120,43621,113979,2795,0.25588235294117645,34,520,94225,727,54254,164323,2733,0.06904761904761905,84,40,11934,149,7336,17370,414,1.1833333333333333,6
15,0,0,0,0,563,66,14308,80,8709,28571,254,3.2,2,44,28582,64,21769,62440,232,0.47000000000000003,10,96,30332,588,30713,67406,1743,0.2392857142857143,28,318,45213,376,39097,91708,1373,0.1,52,42,12988,170,7098,18339,468,1.9333333333333333,3
16,0,0,0,0,515,72,17438,88,4727,31426,288,1.725,4,56,11767,39,7368,21425,51,0.9400000000000001,5,86,12664,348,9105,23564,645,0.4277777777777778,18,264,19117,326,14808,38480,522,0.276,25,37,1349,4,436,1904,26,0,0
17,0,0,0,0,1116,146,81882,250,42884,174128,1155,0.5692307692307692,13,106,121201,403,73189,190794,1408,0.7,8,211,103435,2071,75047,186217,4779,0.09841269841269841,63,587,66485,796,46511,123344,1683,0.05955056179775281,89,71,7120,76,3429,11227,212,1.3166666666666667,6
18,0,0,0,0,1720,188,86796,369,54014,136827,1505,0.37222222222222223,18,158,89026,217,55970,151578,835,0.7727272727272727,11,296,366845,7912,276635,631611,19640,0.06451612903225806,124,938,543445,3331,247110,900412,17402,0.028837209302325584,215,152,61127,484,53118,98130,3066,0.3782608695652174,23
19,0,0,0,0,901,141,177727,738,116316,287745,4899,0.4052631578947368,19,88,67576,105,39218,105100,498,0.6625,8,163,136814,2666,120666,247433,6656,0.10727272727272728,55,448,104569,898,79297,203802,2564,0.08222222222222222,90,69,46889,319,44108,67225,1853,0.475,16
20,0,0,0,0,717,118,71846,301,43062,130778,1397,0.6272727272727273,11,58,11250,29,10058,26617,49,1.7,3,121,36970,1084,27308,61858,2419,0.209375,32,372,56489,433,41136,111466,1794,0.1702127659574468,47,49,3376,35,1556,5334,105,3.65,2
21,0,0,0,0,836,130,67398,431,38643,131602,1832,0.65,10,79,30246,175,19389,55842,300,0.8142857142857143,7,130,35338,853,24538,54448,1670,0.16666666666666666,33,447,45986,482,33029,88046,1180,0.13,50,57,40323,310,23143,77272,1478,0.6000000000000001,9
22,0,0,0,0,533,84,21712,118,10704,38938,389,0.9428571428571428,7,42,5389,94,3695,8463,106,1.9666666666666668,3,86,27387,543,22201,55667,1196,0.3761904761904762,21,301,59617,475,59442,137993,1498,0.14666666666666667,45,21,1262,17,655,1852,37,2.7,2
23,0,0,0,0,937,129,55148,315,28987,94609,1049,0.5909090909090909,11,78,43176,186,28084,81826,634,0.509090909090909,11,170,57126,887,28988,99309,1828,0.13023255813953488,43,475,69022,708,57430,137737,2067,0.10178571428571428,56,89,28195,175,15259,41590,668,0.5923076923076923,13
24,0,0,0,0,1891,289,141724,417,76565,259991,1573,0.29545454545454547,22,169,174445,470,111658,284150,1118,0.20384615384615384,26,318,262880,7811,179100,456357,12492,0.07765957446808511,94,938,250917,2507,155162,420357,6816,0.0460431654676259,139,190,59119,721,32847,82005,2739,0.25384615384615383,26
25,0,0,0,0,4375,379,1033644,2620,539756,1735369,20673,0.13125,64,409,798766,2235,399679,1295587,7268,0.16444444444444445,45,985,2282740,48918,1651218,3537023,130992,0.013134851138353765,571,2251,1036654,8539,589253,1602111,33263,0.013103448275862068,580,401,484463,3158,342792,727031,19974,0.06055045871559633,109
26,0,0,0,0,808,135,272270,1085,204741,464647,7275,0.17317073170731706,41,90,61018,225,29735,75449,678,1.042857142857143,7,186,104538,2637,86813,176431,6231,0.13090909090909092,55,300,38098,465,22622,58318,966,0.1875,48,108,64391,400,52178,95823,3522,0.2625,24
27,0,0,0,0,1072,161,95254,387,54835,162052,2430,0.385,20,97,31858,162,20659,54896,316,0.53,10,189,103208,2598,80498,191950,6500,0.10701754385964912,57,552,75454,708,44919,135008,1703,0.10138888888888889,72,77,3482,30,1808,5514,108,1.475,4
