id,name,formattedAddress,lat,lng,checkinsCount,tipCount,usersCount,visitsCount,likesCount,rating,categories_ids,categories_names,ratingSignals
58f4d5ed4acb19754bda4b79,Хоум,"['вулиця Урлівська, 36А', 'Киев, 02081', 'Україна']",50.411346,30.61848,1,0,1,3,0,0,['4d954b06a243a5684965b473'],['Residential Building (Apartment / Condo)'],0
55007d60498e6b467c1a66e9,Страна Ууууу 38а,['Україна'],50.41184916715315,30.6185334224854,220,1,9,233,2,0,['4bf58dd8d48988d1e1931735'],['Arcade'],0
4f8b0969e4b0b1c4b138d012,Здолбуновская 11,['Україна'],50.415843511950115,30.61920362698499,170,0,43,194,0,0,['4d954b06a243a5684965b473'],['Residential Building (Apartment / Condo)'],0
5006ad60e4b0ae5996af7271,Здолбуновская 11а,['Україна'],50.41580399911009,30.61982941318881,84,0,38,85,0,0,['4d954b06a243a5684965b473'],['Residential Building (Apartment / Condo)'],0
55eb203d498e3c522e9f72cd,Григоренко 12А,['Україна'],50.412869780068284,30.622391686037023,81,0,91,277,0,0,['4d954b06a243a5684965b473'],['Residential Building (Apartment / Condo)'],0
57795e0e498e69d8a4223190,Aiza House,"['Київ', 'Україна']",50.41501,30.622383,34,0,2,37,0,0,['4f2a210c4b9023bd5841ed28'],['Housing Development'],0
50dd70b5e4b0cc8390696dd3,Жандарка / Zhandarka,"['вул. Урлівська', 'Київ', 'Україна']",50.41240112180147,30.61962604522705,1160,4,981,2876,16,6.8,"['4bf58dd8d48988d161941735', '4bf58dd8d48988d163941735']","['Lake', 'Park']",27
570780c8498eaefd5d01a7cf,Autoklad,['Україна'],50.418743358102,30.626419529639545,10,0,2,10,0,0,['4bf58dd8d48988d124951735'],['Automotive Shop'],0
4ee875288b81f7a73dd6d1ae,ЕКО Маркет,"['вул. Здолбунівська, 7а', 'Київ', 'Україна']",50.416667235237405,30.624947547912598,300,2,136,309,1,0,['4bf58dd8d48988d118951735'],['Grocery Store'],0
505c1b93e4b0ddb6e7c3bdec,добрый аптекарь,"['Пчелки 2А', 'Україна']",50.417617939757825,30.623878442460583,7,0,6,7,0,0,['4bf58dd8d48988d10f951735'],['Pharmacy'],0
5001ac3fe4b07c8ae90b9be6,Yoka's Gym,['Україна'],50.41619898577686,30.626441269108547,34,0,18,38,2,0,['4bf58dd8d48988d176941735'],['Gym'],0
539ed2b9498e6ead0c7a99b0,Сіріус Дент,['Україна'],50.41602014562261,30.62592917257943,7,0,5,9,1,0,['4bf58dd8d48988d178941735'],"[""Dentist's Office""]",0
5222183211d295823e4744b3,Пчелки 2А,['Україна'],50.41677138951743,30.62457563911123,185,0,72,265,0,0,['4d954b06a243a5684965b473'],['Residential Building (Apartment / Condo)'],0
5583f2cd498e17ab83e63fb4,ЖК Поетичний,"['Здолбуновская 13', 'Україна']",50.41744288379976,30.625188830239573,99,0,59,182,0,0,['4f2a210c4b9023bd5841ed28'],['Housing Development'],0
575946fe498eced64598effd,Приват Банк,"['вул. Здолбунівська, 13', 'Київ', 'Україна']",50.41762432330844,30.624303817749027,19,0,13,22,0,0,['4bf58dd8d48988d10a951735'],['Bank'],0
5800d81ed67ce59c269f8d05,posEATive,"['Олени Пчілки,2а', 'Київ', 'Україна']",50.416743,30.624222,21,8,20,38,8,8.5,['4bf58dd8d48988d16d941735'],['Café'],14
58d67785febfbd1102ef347a,Beer Market,"['Київ', 'Україна']",50.416367,30.630316,3,0,3,3,0,0,['5370f356bcbc57f1066c94c2'],['Beer Store'],0
50892bbae88919a826e8e7d6,Клиника «Гармония Здоровья»,"['ул. О. Пчилки, 2', 'Київ', 'Україна']",50.41681763607203,30.625934600830078,98,3,47,98,2,0,['4bf58dd8d48988d196941735'],['Hospital'],0
507400e6e4b0869fa0a7e267,Добрый аптекарь,"['Елены Пчелки,2а', 'Київ', 'Україна']",50.41672341150855,30.625026442488448,86,2,25,91,3,0,['4bf58dd8d48988d10f951735'],['Pharmacy'],0
578dc16d498edc7a3e393ac4,Smile Fish,"['вулиця Олени Пчілки, 2б, Київ, 02000', 'Київ, 02000', 'Україна']",50.41778839360756,30.624700784683228,156,0,68,290,0,0,['4f4533814b9074f6e4fb0107'],['Nursery School'],0
5101718be4b0a25f7f7af9a2,Вода Питна,"['Олени Пчілки, 2', 'Київ', 'Україна']",50.41696696656178,30.626286262387893,28,0,11,28,3,0,['4fbc1be21983fc883593e321'],['Well'],0
4f14506be4b09e81db8b64b1,Детская Площадка На Пчелки,['Україна'],50.41616678910475,30.626078912519493,1439,4,1195,3675,12,7.1,['4bf58dd8d48988d1e7941735'],['Playground'],19
57ef9d6d498ef073c394cab0,D.K_Studio,"['Ул. Здолбуновская 13', 'Україна']",50.418242,30.625641,20,0,5,21,1,0,['4f04aa0c2fb6e1c99f3db0b8'],['Nail Salon'],0
570191af498eec30b6309d97,"вул. Здолбунівська, 13","['вул. Здолбунівська, 13', 'Київ', 'Україна']",50.418089187679996,30.625998973846436,293,0,313,834,5,0,['4d954b06a243a5684965b473'],['Residential Building (Apartment / Condo)'],0
571bae66498e1e1f7f119543,La Menta,"['Здолбунівська, 13', 'Київ', 'Україна']",50.4177707831233,30.625915494228302,99,1,83,176,4,0,['4bf58dd8d48988d1d0941735'],['Dessert Shop'],0
58c3e3fe7b43b41871a5ff3f,"Зупинка ""Вулиця Здолбунівська""","['Проспект Григоренко / ул. Здолбуновская', 'Киев', 'Україна']",50.417416,30.622429,21,0,2,22,0,0,['52f2ab2ebcbc57f1066b8b4f'],['Bus Stop'],0
4f9c3957e4b0ef2f70af66c4,Парковка,['Україна'],50.41761116343311,30.625833291386137,473,1,106,533,3,0,['4c38df4de52ce0d596b336e1'],['Parking'],0
589e76a89900e61ff01a8e13,@saffi art house,"['Здолбуновская', 'Київ', 'Україна']",50.418288,30.62513,18,0,5,19,1,0,['4deefb944765f83613cdba6e'],['Historic Site'],0
4fa561abe4b098f42b2d54d4,Озеро на Здолбунівській,"['вул. Здолбунівська (просп. Григоренка)', 'Київ', 'Україна']",50.417622486123044,30.62383554977274,2161,8,3556,8165,52,0,['4bf58dd8d48988d161941735'],['Lake'],0
5009c3a3e4b093845299c9ee,"Салон Красоты ""Safiye""","['Здолбуновская 9б', 'Київ', 'Україна']",50.416093304211905,30.618847258353263,28,0,13,32,0,0,"['4bf58dd8d48988d110951735', '4f04aa0c2fb6e1c99f3db0b8']","['Salon / Barbershop', 'Nail Salon']",0
554b1bff498eeefb07f27612,"Здолбунівська 11-В, ЖК""Приозерний""","['вул. Здолбунівська, 11-В', 'Київ', 'Україна']",50.416147669718434,30.619773146496396,20,0,5,20,0,0,['5032891291d4c4b30a586d68'],['Assisted Living'],0
